YEAR,QUARTER,MONTH,ITEM_SECTION_CODE,SECTION_DESC,WEIGHT_IMPORT,VALUE_IMPORT,WEIGHT_EXPORT,VALUE_EXPORT,WEIGHT_REXPORT,VALUE_REXPORT
2011,2,4,10,"PULP OF WOOD, WASTE, SCRAP AND ARTICLES OF PAPER",104600378,506039485.2,42173827.71,133884950,5472916.39,51606088.56
2011,2,4,11,TEXTILES AND TEXTILE ARTICLES,105401235.6,1933428166,15686054.82,137694046.2,55165644.49,953337514.1
2011,2,4,12,"FOOTWEAR,UMBRELLAS,ARTICLES OF FEATHER & HAIR",11730675.61,305475378.5,293411.08,3612987.06,6765864.06,139652827.7
2011,2,4,13,"ARTICLES OF STONE, MICA;CERAMIC PRODUCTS AND GLASS",224120781.1,691074987.2,115755350.2,181371037.1,30844289.94,234960685.7
2011,2,4,14,"PEARLS, STONES, PRECIOUS METALS AND ITS ARTICLES",957973.09,16084883408,94831.7,4436530007,403598.32,9325748422
2011,2,4,15,BASE METALS AND ARTICLES OF BASE METAL,953823444.9,5426378823,229929324,995129897,109711410.9,878507801.8
2011,2,4,16,"MACHINERY, SOUND RECORDERS, REPRODUCERS AND PARTS",293856299.9,16040209719,7984292.95,157836301.4,149829917.3,10565148478
2011,2,4,17,VEHICLES OF TRANSPORT,180723001.3,6089800171,35226247.68,2692193024,125614148.5,3529241500
2011,2,4,18,"PHOTOGRAPHIC, MEDICAL, MUSICAL INSTRUMENTS & PARTS",9575396.605,1244016424,309802.3,5382105.63,2238264.37,619269367.9
2011,2,4,19,ARMS AND AMMUNITION; PARTS & ACCESSORIES,32191.73,7702957.97,67519,3543376,5856,110936.85
2011,2,4,20,MISCELLANEOUS MANUFACTURED ARTICLES,64040496.97,945146056.9,4220225.89,44921318.33,18570854.81,338690725.6
2011,2,4,21,"PIECES AND ANTIQUES 'WORKS OF ART, COLLECTORS",390194.49,29160509.24,42686.5,675095.18,1815587,70416602.36
2011,2,5,01,LIVE ANIMALS AND THEIR PRODUCTS,108026376.4,1022948342,8251131,99565097.35,5207931.35,59863516.95
2011,2,5,02,VEGETABLE PRODUCTS,625401336.8,1859565783,14665609.31,49293233.01,123004256.6,430236862.6
2011,2,5,03,"ANIMAL OR VEGETABLE FATS, OILS AND WAXES",40557454.94,213898315.6,52456212.2,259286114.3,5443020.89,19647299.62
2011,2,5,04,"FOODSTUFFS, BEVERAGES, SPIRITS AND TOBACCO",179949011.9,1432491467,198483340,826544862,56887374.94,673814979.4
2011,2,5,05,MINERAL PRODUCTS,1239538816,2663710523,1094710410,701976576.3,352639405.6,1176264096
2011,2,5,06,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,753253013.4,4212583978,39651431.83,338484810.4,50330235.47,1360893188
2011,2,5,07,"PLASTICS, RUBBER AND ARTICLES THEREOF",233961944.8,2150949008,112165487,708078078.4,60885731.35,673802009.1
2011,2,5,08,ARTICLES OF LEATHER AND ANIMAL GUT; TRAVEL GOODS,11518328.33,275473348,767985.94,11011784.92,3631542.95,105629344.6
2011,2,5,09,"ARTICLES OF WOOD, CORK; BASKETWARE AND WICKERWORK",179002423.4,404011129.5,543259.82,5138634.96,27727166.26,85299879.37
2011,2,5,10,"PULP OF WOOD, WASTE, SCRAP AND ARTICLES OF PAPER",109344201.3,569563830.8,48359810.21,186555566.4,6597288.11,60638720.48
2011,2,5,11,TEXTILES AND TEXTILE ARTICLES,118595119.7,2092331017,32178246.46,146633557.5,59987167.55,987298228.5
2011,2,5,12,"FOOTWEAR,UMBRELLAS,ARTICLES OF FEATHER & HAIR",15628843.21,369632811.7,508263.64,1958907.72,7546216.55,132918797.2
2011,2,5,13,"ARTICLES OF STONE, MICA;CERAMIC PRODUCTS AND GLASS",254435404.4,883352633.9,132547244.2,207968003.1,40517499.57,273028744.6
2011,2,5,14,"PEARLS, STONES, PRECIOUS METALS AND ITS ARTICLES",914949.98,16423641268,81440.66,4814158175,346262.69,9180104452
2011,2,5,15,BASE METALS AND ARTICLES OF BASE METAL,932134461.4,6134665014,257995728.7,1115860907,108280136.5,969603933.1
2011,2,5,16,"MACHINERY, SOUND RECORDERS, REPRODUCERS AND PARTS",303190652.9,17518586058,10912118.04,218413792.8,169416000.2,10966470447
2011,2,5,17,VEHICLES OF TRANSPORT,176269686.3,6368339009,15123038.68,80613317.69,131702332.4,3598735239
2011,2,5,18,"PHOTOGRAPHIC, MEDICAL, MUSICAL INSTRUMENTS & PARTS",8199021.58,1406174919,183172.34,4047961.47,3088427.36,709930345
2011,2,5,19,ARMS AND AMMUNITION; PARTS & ACCESSORIES,72017.59,28888647.13,0,0,5073,117512.57
2011,2,5,20,MISCELLANEOUS MANUFACTURED ARTICLES,73493298,1104472625,5265401.28,52624238.34,23972618.84,410727158.2
2011,2,5,21,"PIECES AND ANTIQUES 'WORKS OF ART, COLLECTORS",334001.05,19631137.94,13140.5,736658.91,2129112.35,66930382.23
2011,2,6,01,LIVE ANIMALS AND THEIR PRODUCTS,98894858.79,960022429.4,7586912.3,101369385.4,5977588.39,48035001.84
2011,2,6,02,VEGETABLE PRODUCTS,722506643.1,1995359944,21845355.95,63695505.05,114663766.6,497184249.7
2011,2,6,03,"ANIMAL OR VEGETABLE FATS, OILS AND WAXES",40079623.37,215173711.3,31363787.52,153591870.1,13714860.94,6544098.7
2011,2,6,04,"FOODSTUFFS, BEVERAGES, SPIRITS AND TOBACCO",229173728.6,1598382625,176053987,833306824.5,53060439.46,674621931.4
2011,2,6,05,MINERAL PRODUCTS,1441410031,2453961577,1056713028,576513874.6,262097587.5,883552601.4
2011,2,6,06,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,619347119.1,3863357261,41516151.37,357119458.8,45472398.72,1353323943
2011,2,6,07,"PLASTICS, RUBBER AND ARTICLES THEREOF",220719951.2,2110963217,128759602.5,769143326,58022071.62,678350970.8
2011,2,6,08,ARTICLES OF LEATHER AND ANIMAL GUT; TRAVEL GOODS,11953496.1,303877628.8,323035.15,1798140.23,3111569.98,114098186.2
2011,2,6,09,"ARTICLES OF WOOD, CORK; BASKETWARE AND WICKERWORK",151594580.6,346100082.4,7947928.68,51732211.98,28159973.21,81456435.23
2011,2,6,10,"PULP OF WOOD, WASTE, SCRAP AND ARTICLES OF PAPER",109732386.7,566919937.7,38950207.65,165798910.9,6661987.68,66789712.46
2011,2,6,11,TEXTILES AND TEXTILE ARTICLES,116049973.1,2098333286,28491960.78,155783453.3,64567814.17,1042516306
2011,2,6,12,"FOOTWEAR,UMBRELLAS,ARTICLES OF FEATHER & HAIR",15592624.61,387295321.7,276725,2036231.92,6391072.85,152382331.2
2011,2,6,13,"ARTICLES OF STONE, MICA;CERAMIC PRODUCTS AND GLASS",250561966.1,827407644.3,128180287,201726110.9,33514395.15,206265813.7
2011,2,6,14,"PEARLS, STONES, PRECIOUS METALS AND ITS ARTICLES",1045360.54,17814201437,139826.76,5734956370,306757.91,7804507963
2011,2,6,15,BASE METALS AND ARTICLES OF BASE METAL,818073887,5524262291,252151797.8,1219053332,104216874.4,1014491209
2011,2,6,16,"MACHINERY, SOUND RECORDERS, REPRODUCERS AND PARTS",284554321.4,16190532869,12632300.74,200131990.5,155861371,10337089777
2011,2,6,17,VEHICLES OF TRANSPORT,148294914,5030162981,33041684.11,1707588174,101970008.7,2706877251
2011,2,6,18,"PHOTOGRAPHIC, MEDICAL, MUSICAL INSTRUMENTS & PARTS",6477199.93,1362440005,134062.64,10345987.74,2859626.55,718860735.6
2011,2,6,19,ARMS AND AMMUNITION; PARTS & ACCESSORIES,147311.61,314874070.5,3182,17619.8,64721.76,656032.12
2011,2,6,20,MISCELLANEOUS MANUFACTURED ARTICLES,69221312.76,1074901663,5584122.56,57553330.65,23565419.35,391912493.5
2011,2,6,21,"PIECES AND ANTIQUES 'WORKS OF ART, COLLECTORS",318277.98,20739890.76,11610,551320.81,2197282.96,67579184.94
2011,3,7,01,LIVE ANIMALS AND THEIR PRODUCTS,102844986.4,991454237.6,7494056.08,116238287.4,3924777.8,36585578.29
2011,3,7,02,VEGETABLE PRODUCTS,907796793.6,2325517952,16957748.72,46987696.24,152317573.4,505489042.1
2011,3,7,03,"ANIMAL OR VEGETABLE FATS, OILS AND WAXES",109045325.6,556482607.9,40826479.4,198227418.2,1009256.04,5888276.95
